ID	tweet	label
pcm_train_00001	yeah ‍️the guy wants to trend dat was why e join nysc e cant trend with good music again	negative
pcm_train_00002	this life is so funny sef you will work hard and buy cloths and shoes and rain will start dictating when to wear them for you because you see rain to wear white na war to wear suede na wahala shoe wey i take my money buy	negative
pcm_train_00003	dis is unfair of urcompany goingtowks nw ive bin complaining abt d subscriptioni did wch did nt reflect on mydecoder nd im givin u an ultimatum else u willbsurprised my next reactnim makin dis publicly nw ive chatted u privately showing evidence of payment	negative
pcm_train_00004	lil wayne don vex me im actually not excited again	negative
pcm_train_00005	dis is unfair of ur company going to wks nw ive bin complaining abt d subscriptioni did wch did nt reflect on mydecoder nd im givin u an ultimatumelse u will surprise my next reactnim makin dis publicly nw ive chatted u privately showing evidence of payment	negative
pcm_train_00006	e be like u sef dey mad	negative
pcm_train_00007	sure parole with dem boys dey mainland like this but no be me dem go use trend tomorrow these lagos police officers are unruly	negative
pcm_train_00008	daddy mi o if a day is possible sef we go come dey chop chips and gala like if we walk too far from departure we go miss flight	negative
pcm_train_00009	today marks one small milestone in the beautiful journey of lifei believe dat im the equivalent to a fine wine or a delicious cheesed older the better im trilled to be another year today i create within me a vacuum that no one can and will ever fill except god	negative
pcm_train_00010	family dey call ooif no be billing na something dey sup oo real st come and drop your wetin my eyes don see vibe on this guy track abeg worldbest na skylevel only ️	negative
pcm_train_00011	sweater god e don dey be like my supervisor disturbing me for project	negative
pcm_train_00012	chews loudly because i cant stand snoring its one of my greatest fear in marriage marry wife finish she con dey snore omo na to return the wife	negative
pcm_train_00013	if by tomorrow i cannot make transactions with my account ill be done with yall and thats on period i know the money wey dey there na small thing butmake e work well napeople cannot even help my lifewhats this one na	negative
pcm_train_00014	like where i wan dey see k monthly where i dey work	negative
pcm_train_00015	yess ooo be like e don cancel trip sef sigh	negative
pcm_train_00016	person wey i wan shoot shot to don egbonzone me again ooo	negative
pcm_train_00017	you see those ones wey dey change paper to money i no dey believe say dem dey exist until d day dem run me pure street since last year sept i still dey think about my k till today na k these bastards use to cover d perfectly cut cartons wey be like real money ot of life	negative
pcm_train_00018	na the witchcraft part omo e just dawn on me say true dem don turn black witches o	negative
pcm_train_00019	this ramadan im reporting plenty people to god una don too do me strong thing	negative
pcm_train_00020	you see why sticking to what youre familiar with is the best when making food choices just had the trashiest creamy chicken sauce with basmati rice and i dont know how to feel well maybe not trashy its just not something im used to i no dey chop pass rice and stew	negative
pcm_train_00021	please i find it difficult to understand this space ehnneveryday every new morning different thingsee ehnn i know say luno own na savings una help me do see if una touch wálai i go cry my tired i seriously exhausted	negative
pcm_train_00022	abeg please wetin dey happen i havent eaten since morning because of you people and im not owing oooo	negative
pcm_train_00023	futo babes ‍️ you sha not misbehave with dem cause dem dey burst bottle	negative
